"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 02 20:21:45 MSK 2022","Thu Jun 02 20:21:59 MSK 2022","13205","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyVKButtonTextTest","MyVKButtonTextTest",""
"passed","Thu Jun 02 20:17:59 MSK 2022","Thu Jun 02 20:18:13 MSK 2022","13618","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyEmailButtonTextTest","MyEmailButtonTextTest",""
"passed","Thu Jun 02 20:19:43 MSK 2022","Thu Jun 02 20:19:57 MSK 2022","14004","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyITNewsButtonTextTest","MyITNewsButtonTextTest",""
"passed","Thu Jun 02 20:17:41 MSK 2022","Thu Jun 02 20:17:59 MSK 2022","17231","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyDiscordButtonTextTest","MyDiscordButtonTextTest",""
"passed","Thu Jun 02 20:18:13 MSK 2022","Thu Jun 02 20:18:27 MSK 2022","14780","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyFacebookButtonTextTest","MyFacebookButtonTextTest",""
"passed","Thu Jun 02 20:20:52 MSK 2022","Thu Jun 02 20:21:08 MSK 2022","15054","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyResumeTest","MyResumeTest",""
"passed","Thu Jun 02 20:18:58 MSK 2022","Thu Jun 02 20:19:13 MSK 2022","15451","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyGoogleDevButtonTextTest","MyGoogleDevButtonTextTest",""
"passed","Thu Jun 02 20:19:57 MSK 2022","Thu Jun 02 20:20:12 MSK 2022","14580","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyInstagramButtonTextTest","MyInstagramButtonTextTest",""
"passed","Thu Jun 02 20:20:26 MSK 2022","Thu Jun 02 20:20:39 MSK 2022","13384","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyQADiplomaButtonTextTest","MyQADiplomaButtonTextTest",""
"passed","Thu Jun 02 20:21:20 MSK 2022","Thu Jun 02 20:21:33 MSK 2022","12699","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyTelegramButtonTextTest","MyTelegramButtonTextTest",""
"passed","Thu Jun 02 20:20:39 MSK 2022","Thu Jun 02 20:20:52 MSK 2022","13499","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyQAMindmapsButtonTextTest","MyQAMindmapsButtonTextTest",""
"passed","Thu Jun 02 20:19:29 MSK 2022","Thu Jun 02 20:19:43 MSK 2022","14512","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyHeaderTextTest","MyHeaderTextTest",""
"passed","Thu Jun 02 20:21:08 MSK 2022","Thu Jun 02 20:21:20 MSK 2022","12684","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyStackOverflowButtonTextTest","MyStackOverflowButtonTextTest",""
"passed","Thu Jun 02 20:21:33 MSK 2022","Thu Jun 02 20:21:45 MSK 2022","12319","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyTwitterButtonTextTest","MyTwitterButtonTextTest",""
"passed","Thu Jun 02 20:18:41 MSK 2022","Thu Jun 02 20:18:58 MSK 2022","16738","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyGitHubTest","MyGitHubTest",""
"passed","Thu Jun 02 20:18:27 MSK 2022","Thu Jun 02 20:18:41 MSK 2022","13758","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyFooterTextTest","MyFooterTextTest",""
"passed","Thu Jun 02 20:19:13 MSK 2022","Thu Jun 02 20:19:29 MSK 2022","15393","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyHHTest","MyHHTest",""
"passed","Thu Jun 02 20:20:12 MSK 2022","Thu Jun 02 20:20:26 MSK 2022","13794","Gradle suite","Gradle test","BergChromeTest","BergChromeTest","MyLinkedTest","MyLinkedTest",""
